
======================================================================
num_words = 1 | batch_size = 20
Baseline | pred='y' | pos_acc=1/1 (100.0%) | 343tok | 1.34s
L2M      | pred='ysclryen' | pos_acc=8/8 (100.0%) | 558tok | 1.58s
L2M-DV   | pred='ysclryen' | pos_acc=8/8 (100.0%) | 788tok | 3.54s
Baseline | pred='nysnnnyn' | pos_acc=6/8 (75.0%) | 366tok | 0.87s
CoT      | pred='tynlnnnt' | pos_acc=4/8 (50.0%) | 391tok | 1.54s
L2M      | pred='tynnnnon' | pos_acc=6/8 (75.0%) | 583tok | 2.34s
L2M-DV   | pred='tyennnyn' | pos_acc=8/8 (100.0%) | 840tok | 3.93s
Baseline | pred='yntlnnns' | pos_acc=4/8 (50.0%) | 374tok | 0.96s
CoT      | pred='yntlnnns' | pos_acc=4/8 (50.0%) | 399tok | 1.39s
L2M      | pred='ymnlennn' | pos_acc=8/8 (100.0%) | 561tok | 2.05s
L2M-DV   | pred='ymnlennn' | pos_acc=8/8 (100.0%) | 790tok | 3.37s
Baseline | pred='ylnneese' | pos_acc=3/8 (37.5%) | 369tok | 0.78s
CoT      | pred='yntnllly' | pos_acc=5/8 (62.5%) | 395tok | 0.99s
L2M      | pred='ynynleny' | pos_acc=8/8 (100.0%) | 557tok | 1.75s
L2M-DV   | pred='ynynleny' | pos_acc=8/8 (100.0%) | 786tok | 2.48s
Baseline | pred='eennnnon' | pos_acc=4/8 (50.0%) | 365tok | 1.03s
CoT      | pred='eylntnon' | pos_acc=4/8 (50.0%) | 391tok | 1.02s
L2M      | pred='eynnlnny' | pos_acc=8/8 (100.0%) | 563tok | 2.52s
L2M-DV   | pred='eynnlnny' | pos_acc=8/8 (100.0%) | 844tok | 4.30s

### Batch Summary (n_words=8)
| Strategy | Accuracy | Tokens | Avg Time |
|----------|----------|--------|----------|
| Baseline |  55.00% | 7,323 | 1.032s |
| CoT      |  54.37% | 7,826 | 1.335s |
| L2M      |  87.50% | 11,254 | 2.151s |
| L2M-DV   |  90.00% | 16,008 | 3.499s |

======================================================================
num_words = 9 | batch_size = 20
Baseline | pred='lccmnlyne' | pos_acc=5/9 (55.6%) | 371tok | 0.86s
CoT      | pred='lxylmnlye' | pos_acc=3/9 (33.3%) | 396tok | 0.96s
L2M      | pred='rcymeyyne' | pos_acc=7/9 (77.8%) | 562tok | 2.01s
L2M-DV   | pred='rcymeynne' | pos_acc=6/9 (66.7%) | 796tok | 3.77s
Baseline | pred='nyrnlmyee' | pos_acc=4/9 (44.4%) | 364tok | 0.94s
CoT      | pred='ntynnleee' | pos_acc=4/9 (44.4%) | 389tok | 1.28s
L2M      | pred='nynlnemye' | pos_acc=8/9 (88.9%) | 562tok | 1.94s
L2M-DV   | pred='nynlnemye' | pos_acc=8/9 (88.9%) | 814tok | 3.36s
Baseline | pred='elnysmnnl' | pos_acc=4/9 (44.4%) | 371tok | 0.89s
CoT      | pred='elnnsmnly' | pos_acc=5/9 (55.6%) | 396tok | 1.05s
L2M      | pred='ennymnnly' | pos_acc=9/9 (100.0%) | 562tok | 1.83s
L2M-DV   | pred='ennymnly' | pos_acc=6/9 (66.7%) | 782tok | 2.73s | len_mismatch(gold=9, pred=8)
Baseline | pred='nlynnynne' | pos_acc=4/9 (44.4%) | 370tok | 0.98s
CoT      | pred='nlynnynne' | pos_acc=4/9 (44.4%) | 395tok | 0.95s
L2M      | pred='nyynyneen' | pos_acc=8/9 (88.9%) | 561tok | 2.75s
L2M-DV   | pred='nyynynnen' | pos_acc=9/9 (100.0%) | 850tok | 3.10s
Baseline | pred='ylnynltyn' | pos_acc=2/9 (22.2%) | 366tok | 0.79s
CoT      | pred='ylnynylnn' | pos_acc=2/9 (22.2%) | 391tok | 1.11s
L2M      | pred='yntnonlral' | pos_acc=4/9 (44.4%) | 573tok | 1.64s | len_mismatch(gold=9, pred=10)
L2M-DV   | pred='ynynynyln' | pos_acc=9/9 (100.0%) | 843tok | 3.93s
Baseline | pred='ednnmsygy' | pos_acc=5/9 (55.6%) | 371tok | 0.98s
CoT      | pred='etnnmsmgy' | pos_acc=6/9 (66.7%) | 396tok | 0.97s
L2M      | pred='eenlmssyy' | pos_acc=8/9 (88.9%) | 562tok | 2.74s
L2M-DV   | pred='eenlnscyy' | pos_acc=7/9 (77.8%) | 794tok | 3.23s
Baseline | pred='lneonntn' | pos_acc=2/9 (22.2%) | 367tok | 1.36s | len_mismatch(gold=9, pred=8)
CoT      | pred='yenerenr' | pos_acc=3/9 (33.3%) | 391tok | 0.72s | len_mismatch(gold=9, pred=8)
L2M      | pred='yennenen' | pos_acc=8/9 (88.9%) | 558tok | 3.38s | len_mismatch(gold=9, pred=8)
L2M-DV   | pred='yennenen' | pos_acc=8/9 (88.9%) | 845tok | 3.73s | len_mismatch(gold=9, pred=8)
Baseline | pred='nonylnaln' | pos_acc=4/9 (44.4%) | 372tok | 0.78s
CoT      | pred='nnntnynnn' | pos_acc=5/9 (55.6%) | 397tok | 0.97s
L2M      | pred='nmnynyltn' | pos_acc=9/9 (100.0%) | 564tok | 2.40s
L2M-DV   | pred='nmnynyltn' | pos_acc=9/9 (100.0%) | 797tok | 3.50s
Baseline | pred='ylnelnooy' | pos_acc=4/9 (44.4%) | 369tok | 1.32s
CoT      | pred='ylnelnoin' | pos_acc=3/9 (33.3%) | 394tok | 1.13s
L2M      | pred='ylnelonnn' | pos_acc=4/9 (44.4%) | 587tok | 2.66s
L2M-DV   | pred='ynlennnny' | pos_acc=9/9 (100.0%) | 850tok | 4.42s
Baseline | pred='nllnnynnnn' | pos_acc=6/9 (66.7%) | 371tok | 1.10s | len_mismatch(gold=9, pred=10)
CoT      | pred='mnlnneonn' | pos_acc=5/9 (55.6%) | 394tok | 0.84s
L2M      | pred='mlleeyynn' | pos_acc=8/9 (88.9%) | 563tok | 3.32s
L2M-DV   | pred='mllneyynn' | pos_acc=9/9 (100.0%) | 857tok | 3.40s
Baseline | pred='ynelemtly' | pos_acc=5/9 (55.6%) | 373tok | 1.33s
CoT      | pred='yneylntyy' | pos_acc=9/9 (100.0%) | 398tok | 0.70s
L2M      | pred='yneylntyy' | pos_acc=9/9 (100.0%) | 567tok | 2.20s
L2M-DV   | pred='ynelyntyy' | pos_acc=7/9 (77.8%) | 798tok | 3.18s
Baseline | pred='elnnlyyyn' | pos_acc=4/9 (44.4%) | 367tok | 0.94s
CoT      | pred='elnnlyyyn' | pos_acc=4/9 (44.4%) | 392tok | 1.02s
L2M      | pred='ennynyyyy' | pos_acc=7/9 (77.8%) | 567tok | 2.10s
L2M-DV   | pred='ennyyynyy' | pos_acc=9/9 (100.0%) | 825tok | 3.57s
Baseline | pred='nmmllnlee' | pos_acc=4/9 (44.4%) | 371tok | 0.95s
CoT      | pred='nmmllnlnl' | pos_acc=3/9 (33.3%) | 397tok | 1.08s
L2M      | pred='nmylnenle' | pos_acc=9/9 (100.0%) | 563tok | 2.27s
L2M-DV   | pred='nmylnenle' | pos_acc=9/9 (100.0%) | 794tok | 2.11s
Baseline | pred='nnntnnnry' | pos_acc=5/9 (55.6%) | 367tok | 0.76s
CoT      | pred='nnntnnnry' | pos_acc=5/9 (55.6%) | 392tok | 1.40s
L2M      | pred='nynnnlnny' | pos_acc=9/9 (100.0%) | 563tok | 3.01s
L2M-DV   | pred='nynnnnnny' | pos_acc=8/9 (88.9%) | 792tok | 2.26s
Baseline | pred='nonllnysy' | pos_acc=6/9 (66.7%) | 366tok | 1.39s
CoT      | pred='nnlnllnly' | pos_acc=5/9 (55.6%) | 392tok | 0.84s
L2M      | pred='nnnnlnyny' | pos_acc=9/9 (100.0%) | 568tok | 1.83s
L2M-DV   | pred='nnnnlnyny' | pos_acc=9/9 (100.0%) | 791tok | 2.06s
Baseline | pred='yynlntgyn' | pos_acc=7/9 (77.8%) | 369tok | 0.78s
CoT      | pred='yynllaynyz' | pos_acc=5/9 (55.6%) | 394tok | 1.02s | len_mismatch(gold=9, pred=10)
L2M      | pred='ynlnnynyn' | pos_acc=5/9 (55.6%) | 569tok | 2.68s
L2M-DV   | pred='yynlnyyyn' | pos_acc=9/9 (100.0%) | 793tok | 2.16s
Baseline | pred='yelnoonyy' | pos_acc=5/9 (55.6%) | 369tok | 1.39s
CoT      | pred='yelnoonyy' | pos_acc=5/9 (55.6%) | 394tok | 1.35s
L2M      | pred='yelnnnyny' | pos_acc=9/9 (100.0%) | 566tok | 2.78s
L2M-DV   | pred='yelnnnyny' | pos_acc=9/9 (100.0%) | 848tok | 3.16s
Baseline | pred='rllnlylnc' | pos_acc=5/9 (55.6%) | 367tok | 0.97s
CoT      | pred='rllnrynlc' | pos_acc=3/9 (33.3%) | 392tok | 0.88s
L2M      | pred='rlnyynnnc' | pos_acc=8/9 (88.9%) | 558tok | 2.58s
L2M-DV   | pred='rlnyynlnc' | pos_acc=9/9 (100.0%) | 825tok | 3.69s
Baseline | pred='nonnnnnnnn' | pos_acc=4/9 (44.4%) | 368tok | 0.83s | len_mismatch(gold=9, pred=10)
CoT      | pred='nnxnnnnnnn' | pos_acc=5/9 (55.6%) | 394tok | 0.77s | len_mismatch(gold=9, pred=10)
L2M      | pred='nyrnsnynn' | pos_acc=7/9 (77.8%) | 564tok | 1.77s
L2M-DV   | pred='nyrnsnynnn' | pos_acc=7/9 (77.8%) | 800tok | 2.93s | len_mismatch(gold=9, pred=10)
Baseline | pred='neltmleas' | pos_acc=4/9 (44.4%) | 373tok | 0.89s
CoT      | pred='neseeyesss' | pos_acc=4/9 (44.4%) | 398tok | 0.82s | len_mismatch(gold=9, pred=10)
L2M      | pred='nemmyeeys' | pos_acc=8/9 (88.9%) | 564tok | 2.03s
L2M-DV   | pred='nenmyeeys' | pos_acc=9/9 (100.0%) | 798tok | 3.79s

### Batch Summary (n_words=9)
| Strategy | Accuracy | Tokens | Avg Time |
|----------|----------|--------|----------|
| Baseline |  49.44% | 7,382 | 1.012s |
| CoT      |  48.89% | 7,882 | 0.993s |
| L2M      |  85.00% | 11,303 | 2.395s |
| L2M-DV   |  91.67% | 16,292 | 3.204s |

======================================================================
num_words = 10 | batch_size = 20
Baseline | pred='ylnynglcee' | pos_acc=6/10 (60.0%) | 370tok | 1.43s
CoT      | pred='yllnnglcmc' | pos_acc=4/10 (40.0%) | 396tok | 0.93s
L2M      | pred='yllnnyllee' | pos_acc=4/10 (40.0%) | 598tok | 2.03s
L2M-DV   | pred='ylnynnleym' | pos_acc=10/10 (100.0%) | 853tok | 3.07s
Baseline | pred='nrnnlnyytl' | pos_acc=5/10 (50.0%) | 373tok | 1.10s
CoT      | pred='nrnnllygcy' | pos_acc=5/10 (50.0%) | 398tok | 0.98s
L2M      | pred='nxnlllryyy' | pos_acc=8/10 (80.0%) | 568tok | 2.44s
L2M-DV   | pred='nxnnlyryyy' | pos_acc=10/10 (100.0%) | 835tok | 3.91s
Baseline | pred='yynnllnnnn' | pos_acc=9/10 (90.0%) | 370tok | 1.02s
CoT      | pred='yyyynnnnnn' | pos_acc=6/10 (60.0%) | 395tok | 0.73s
L2M      | pred='yynnglssnn' | pos_acc=6/10 (60.0%) | 590tok | 2.65s
L2M-DV   | pred='yynnlsnnnn' | pos_acc=10/10 (100.0%) | 835tok | 3.48s
Baseline | pred='edlyymnsmg' | pos_acc=3/10 (30.0%) | 373tok | 0.95s
CoT      | pred='edlyynsgyy' | pos_acc=3/10 (30.0%) | 397tok | 0.95s
L2M      | pred='eyllyyynmy' | pos_acc=6/10 (60.0%) | 569tok | 1.65s
L2M-DV   | pred='eyyyyyyynn' | pos_acc=6/10 (60.0%) | 804tok | 2.76s
Baseline | pred='nnngnnnnnn' | pos_acc=5/10 (50.0%) | 372tok | 1.01s
CoT      | pred='nelnntnsmn' | pos_acc=6/10 (60.0%) | 398tok | 1.31s
L2M      | pred='nennnylnmn' | pos_acc=10/10 (100.0%) | 577tok | 2.09s
L2M-DV   | pred='nennnylnmn' | pos_acc=10/10 (100.0%) | 804tok | 3.26s
Baseline | pred='ialnylyyey' | pos_acc=6/10 (60.0%) | 366tok | 1.30s
CoT      | pred='yntlnllyy' | pos_acc=5/10 (50.0%) | 395tok | 0.99s | len_mismatch(gold=10, pred=9)
L2M      | pred='yntnonllyy' | pos_acc=5/10 (50.0%) | 585tok | 2.03s
L2M-DV   | pred='ynynllyyyy' | pos_acc=9/10 (90.0%) | 798tok | 2.73s
Baseline | pred='elyyolnnyz' | pos_acc=6/10 (60.0%) | 374tok | 0.77s
CoT      | pred='elyylnygnn' | pos_acc=7/10 (70.0%) | 399tok | 0.92s
L2M      | pred='elyyyeynyn' | pos_acc=9/10 (90.0%) | 573tok | 2.37s
L2M-DV   | pred='elyyyyeenyn' | pos_acc=4/10 (40.0%) | 771tok | 2.86s | len_mismatch(gold=10, pred=11)
Baseline | pred='mnntnnoomm' | pos_acc=4/10 (40.0%) | 375tok | 1.38s
CoT      | pred='mnntnnooml' | pos_acc=3/10 (30.0%) | 400tok | 1.09s
L2M      | pred='myneynnyym' | pos_acc=9/10 (90.0%) | 579tok | 1.78s
L2M-DV   | pred='myneynymym' | pos_acc=8/10 (80.0%) | 864tok | 4.64s
Baseline | pred='yyyneeynon' | pos_acc=6/10 (60.0%) | 373tok | 0.85s
CoT      | pred='yyyneeynnn' | pos_acc=6/10 (60.0%) | 399tok | 1.06s
L2M      | pred='ynneeyyysn' | pos_acc=8/10 (80.0%) | 574tok | 2.24s
L2M-DV   | pred='yynneyyyyn' | pos_acc=9/10 (90.0%) | 864tok | 3.67s
Baseline | pred='yntnnynney' | pos_acc=7/10 (70.0%) | 374tok | 1.19s
CoT      | pred='ylnnnlytty' | pos_acc=3/10 (30.0%) | 399tok | 1.10s
L2M      | pred='ynmnyyyney' | pos_acc=9/10 (90.0%) | 570tok | 1.59s
L2M-DV   | pred='ynmnyylney' | pos_acc=10/10 (100.0%) | 808tok | 2.73s
Baseline | pred='yelmmynity' | pos_acc=4/10 (40.0%) | 373tok | 1.00s
CoT      | pred='yelemmynyy' | pos_acc=5/10 (50.0%) | 398tok | 1.37s
L2M      | pred='yelemcynsy' | pos_acc=4/10 (40.0%) | 597tok | 2.57s
L2M-DV   | pred='yeymomyyny' | pos_acc=9/10 (90.0%) | 806tok | 3.55s
Baseline | pred='myytnglnce' | pos_acc=4/10 (40.0%) | 373tok | 0.90s
CoT      | pred='myytnglnce' | pos_acc=4/10 (40.0%) | 398tok | 1.05s
L2M      | pred='myyyynysye' | pos_acc=8/10 (80.0%) | 570tok | 2.97s
L2M-DV   | pred='myyyynssye' | pos_acc=9/10 (90.0%) | 805tok | 3.31s
Baseline | pred='lytlnrnal' | pos_acc=4/10 (40.0%) | 372tok | 0.72s | len_mismatch(gold=10, pred=9)
CoT      | pred='lyylnrlnsl' | pos_acc=4/10 (40.0%) | 398tok | 1.27s
L2M      | pred='lynlyrnlnl' | pos_acc=9/10 (90.0%) | 568tok | 2.10s
L2M-DV   | pred='nynlyrnlnl' | pos_acc=10/10 (100.0%) | 800tok | 3.10s
Baseline | pred='ynlltynnix' | pos_acc=7/10 (70.0%) | 368tok | 0.86s
CoT      | pred='yntnlynnx' | pos_acc=6/10 (60.0%) | 394tok | 0.86s | len_mismatch(gold=10, pred=9)
L2M      | pred='ylnltynnnx' | pos_acc=6/10 (60.0%) | 583tok | 2.05s
L2M-DV   | pred='ynlnyynnx' | pos_acc=8/10 (80.0%) | 856tok | 5.56s | len_mismatch(gold=10, pred=9)
Baseline | pred='nnceylnylx' | pos_acc=5/10 (50.0%) | 372tok | 0.78s
CoT      | pred='nnceylnlrx' | pos_acc=6/10 (60.0%) | 397tok | 1.53s
L2M      | pred='nnemyylnyx' | pos_acc=8/10 (80.0%) | 567tok | 2.33s
L2M-DV   | pred='nnemyynlyx' | pos_acc=10/10 (100.0%) | 804tok | 2.87s
Baseline | pred='yynelgnmly' | pos_acc=5/10 (50.0%) | 375tok | 1.01s
CoT      | pred='yyleregyly' | pos_acc=4/10 (40.0%) | 399tok | 0.74s
L2M      | pred='yyyelnynmy' | pos_acc=10/10 (100.0%) | 570tok | 1.85s
L2M-DV   | pred='yyenlnyncy' | pos_acc=7/10 (70.0%) | 806tok | 2.87s
Baseline | pred='yyyllttgys' | pos_acc=6/10 (60.0%) | 369tok | 0.86s
CoT      | pred='yyyllttcgy' | pos_acc=7/10 (70.0%) | 394tok | 0.84s
L2M      | pred='yyylctnnyy' | pos_acc=9/10 (90.0%) | 581tok | 1.94s
L2M-DV   | pred='yyylctnnyy' | pos_acc=9/10 (90.0%) | 803tok | 3.67s
Baseline | pred='ynoletymss' | pos_acc=4/10 (40.0%) | 372tok | 0.90s
CoT      | pred='ynoletnsmr' | pos_acc=3/10 (30.0%) | 398tok | 0.84s
L2M      | pred='ynoletynss' | pos_acc=5/10 (50.0%) | 603tok | 4.55s
L2M-DV   | pred='ynylymnys' | pos_acc=5/10 (50.0%) | 804tok | 2.50s | len_mismatch(gold=10, pred=9)
Baseline | pred='yyyllmnncc' | pos_acc=7/10 (70.0%) | 380tok | 1.03s
CoT      | pred='yyyllmnncc' | pos_acc=7/10 (70.0%) | 405tok | 1.59s
L2M      | pred='yyyllynmyc' | pos_acc=10/10 (100.0%) | 577tok | 1.93s
L2M-DV   | pred='yyyllynmyc' | pos_acc=10/10 (100.0%) | 881tok | 3.41s
Baseline | pred='nnllnnyen' | pos_acc=6/10 (60.0%) | 380tok | 0.82s | len_mismatch(gold=10, pred=9)
CoT      | pred='nsseneeynn' | pos_acc=5/10 (50.0%) | 404tok | 0.91s
L2M      | pred='nslennyeyn' | pos_acc=10/10 (100.0%) | 583tok | 2.56s
L2M-DV   | pred='nslennyeyn' | pos_acc=10/10 (100.0%) | 849tok | 3.40s

### Batch Summary (n_words=10)
| Strategy | Accuracy | Tokens | Avg Time |
|----------|----------|--------|----------|
| Baseline |  54.50% | 7,454 | 0.994s |
| CoT      |  49.50% | 7,961 | 1.053s |
| L2M      |  76.50% | 11,582 | 2.286s |
| L2M-DV   |  86.50% | 16,450 | 3.368s |

======================================================================
num_words = 11 | batch_size = 20
Baseline | pred='nlyeyntnonn' | pos_acc=6/11 (54.5%) | 378tok | 1.04s
CoT      | pred='nlyeeoynnn' | pos_acc=5/11 (45.5%) | 403tok | 0.80s | len_mismatch(gold=11, pred=10)
L2M      | pred='nyreynyyynn' | pos_acc=10/11 (90.9%) | 577tok | 1.57s
L2M-DV   | pred='nyreynyyynn' | pos_acc=10/11 (90.9%) | 818tok | 3.67s
Baseline | pred='ynoonlclry' | pos_acc=3/11 (27.3%) | 388tok | 0.89s | len_mismatch(gold=11, pred=10)
CoT      | pred='lnnnnldeeeey' | pos_acc=5/11 (45.5%) | 413tok | 1.05s | len_mismatch(gold=11, pred=12)
L2M      | pred='ynoonglcty' | pos_acc=2/11 (18.2%) | 624tok | 1.51s | len_mismatch(gold=11, pred=10)
L2M-DV   | pred='ynnelneclly' | pos_acc=5/11 (45.5%) | 835tok | 3.27s
Baseline | pred='yssnnnooyy' | pos_acc=6/11 (54.5%) | 369tok | 0.75s | len_mismatch(gold=11, pred=10)
CoT      | pred='yssnnnooyy' | pos_acc=6/11 (54.5%) | 394tok | 1.16s | len_mismatch(gold=11, pred=10)
L2M      | pred='ysynonnxlyy' | pos_acc=6/11 (54.5%) | 574tok | 2.07s
L2M-DV   | pred='ysynonxlyyy' | pos_acc=9/11 (81.8%) | 836tok | 3.80s
Baseline | pred='nnnsnnnsmnn' | pos_acc=6/11 (54.5%) | 374tok | 0.93s
CoT      | pred='nnnsnnnsmnn' | pos_acc=6/11 (54.5%) | 399tok | 0.78s
L2M      | pred='nynnnnymyn' | pos_acc=7/11 (63.6%) | 572tok | 2.95s | len_mismatch(gold=11, pred=10)
L2M-DV   | pred='nynnnnynmyn' | pos_acc=11/11 (100.0%) | 871tok | 3.79s
Baseline | pred='nnmnnntyyyl' | pos_acc=9/11 (81.8%) | 384tok | 0.79s
CoT      | pred='nnmnnntyyyl' | pos_acc=9/11 (81.8%) | 407tok | 0.89s
L2M      | pred='nngnnntyyly' | pos_acc=8/11 (72.7%) | 608tok | 1.91s
L2M-DV   | pred='nnmnnnyyyyy' | pos_acc=11/11 (100.0%) | 885tok | 3.31s
Baseline | pred='nnntelntnnn' | pos_acc=6/11 (54.5%) | 373tok | 0.89s
CoT      | pred='nnntelntnn' | pos_acc=5/11 (45.5%) | 397tok | 1.04s | len_mismatch(gold=11, pred=10)
L2M      | pred='nnnyeytonyn' | pos_acc=8/11 (72.7%) | 574tok | 2.48s
L2M-DV   | pred='nnnyeytnynn' | pos_acc=11/11 (100.0%) | 867tok | 4.49s
Baseline | pred='ylyytyeecln' | pos_acc=4/11 (36.4%) | 377tok | 1.35s
CoT      | pred='ylyytynecsn' | pos_acc=5/11 (45.5%) | 402tok | 1.00s
L2M      | pred='yyyylensyn' | pos_acc=9/11 (81.8%) | 576tok | 2.66s | len_mismatch(gold=11, pred=10)
L2M-DV   | pred='yyyylennyyn' | pos_acc=10/11 (90.9%) | 818tok | 2.82s
Baseline | pred='yyyynnnnmm' | pos_acc=7/11 (63.6%) | 375tok | 1.53s | len_mismatch(gold=11, pred=10)
CoT      | pred='yyyynnnnmmm' | pos_acc=8/11 (72.7%) | 400tok | 0.90s
L2M      | pred='yyyynnnnlll' | pos_acc=7/11 (63.6%) | 598tok | 1.54s
L2M-DV   | pred='yyynnnyynym' | pos_acc=9/11 (81.8%) | 813tok | 2.63s
Baseline | pred='syynnnnyrnn' | pos_acc=8/11 (72.7%) | 372tok | 0.83s
CoT      | pred='syynnnnnyin' | pos_acc=8/11 (72.7%) | 397tok | 1.05s
L2M      | pred='synnynyyynn' | pos_acc=6/11 (54.5%) | 578tok | 3.07s
L2M-DV   | pred='synnynyyyn' | pos_acc=5/11 (45.5%) | 812tok | 3.51s | len_mismatch(gold=11, pred=10)
Baseline | pred='yntyyneonyl' | pos_acc=4/11 (36.4%) | 377tok | 0.80s
CoT      | pred='yntyyneonnl' | pos_acc=5/11 (45.5%) | 402tok | 1.07s
L2M      | pred='ynnyeynnyny' | pos_acc=10/11 (90.9%) | 576tok | 2.44s
L2M-DV   | pred='ynneyynnnny' | pos_acc=9/11 (81.8%) | 816tok | 2.99s
Baseline | pred='eennlylnly' | pos_acc=2/11 (18.2%) | 376tok | 0.97s | len_mismatch(gold=11, pred=10)
CoT      | pred='etynlynlntg' | pos_acc=5/11 (45.5%) | 402tok | 0.82s
L2M      | pred='elynynennry' | pos_acc=8/11 (72.7%) | 616tok | 2.49s
L2M-DV   | pred='elynyeensny' | pos_acc=7/11 (63.6%) | 817tok | 3.84s
Baseline | pred='elnltayytse' | pos_acc=4/11 (36.4%) | 378tok | 1.59s
CoT      | pred='elnltayymye' | pos_acc=5/11 (45.5%) | 401tok | 0.89s
L2M      | pred='eyntyyymeye' | pos_acc=11/11 (100.0%) | 575tok | 2.59s
L2M-DV   | pred='eyntyyyyeye' | pos_acc=10/11 (90.9%) | 773tok | 2.97s
Baseline | pred='nnntyyssnns' | pos_acc=7/11 (63.6%) | 376tok | 0.89s
CoT      | pred='nnntyyssnns' | pos_acc=7/11 (63.6%) | 401tok | 1.13s
L2M      | pred='nlntyyrynnn' | pos_acc=9/11 (81.8%) | 600tok | 2.02s
L2M-DV   | pred='nlnnyyysynn' | pos_acc=8/11 (72.7%) | 817tok | 2.75s
Baseline | pred='elnnntnnoee' | pos_acc=5/11 (45.5%) | 377tok | 0.92s
CoT      | pred='elnnntnnonl' | pos_acc=5/11 (45.5%) | 402tok | 1.05s
L2M      | pred='eenynynnne' | pos_acc=7/11 (63.6%) | 575tok | 2.57s | len_mismatch(gold=11, pred=10)
L2M-DV   | pred='eenynenynne' | pos_acc=9/11 (81.8%) | 797tok | 2.26s
Baseline | pred='lnyyynynlcl' | pos_acc=8/11 (72.7%) | 376tok | 1.27s
CoT      | pred='lnyyrrntgcl' | pos_acc=5/11 (45.5%) | 401tok | 0.89s
L2M      | pred='lnnynnoetcl' | pos_acc=6/11 (54.5%) | 598tok | 2.44s
L2M-DV   | pred='nnyynnynnyl' | pos_acc=10/11 (90.9%) | 819tok | 2.35s
Baseline | pred='nnnedyyytse' | pos_acc=7/11 (63.6%) | 379tok | 1.16s
CoT      | pred='nnnedyyynse' | pos_acc=7/11 (63.6%) | 404tok | 0.98s
L2M      | pred='nnsyeeyyyne' | pos_acc=9/11 (81.8%) | 579tok | 1.70s
L2M-DV   | pred='nnteeyyyyne' | pos_acc=10/11 (90.9%) | 820tok | 3.61s
Baseline | pred='nonnglnnnon' | pos_acc=2/11 (18.2%) | 372tok | 1.52s
CoT      | pred='nonnglnnnon' | pos_acc=2/11 (18.2%) | 397tok | 1.43s
L2M      | pred='nlsgynltnn' | pos_acc=9/11 (81.8%) | 579tok | 1.81s | len_mismatch(gold=11, pred=10)
L2M-DV   | pred='nlsgynltmnn' | pos_acc=11/11 (100.0%) | 876tok | 4.35s
Baseline | pred='nentlnlntn' | pos_acc=6/11 (54.5%) | 372tok | 1.54s | len_mismatch(gold=11, pred=10)
CoT      | pred='nnlnlnlntnn' | pos_acc=5/11 (45.5%) | 397tok | 0.78s
L2M      | pred='nenlnnlynnn' | pos_acc=11/11 (100.0%) | 579tok | 2.03s
L2M-DV   | pred='nenlnnlynnn' | pos_acc=11/11 (100.0%) | 814tok | 3.79s
Baseline | pred='nnlylrnoonn' | pos_acc=5/11 (45.5%) | 375tok | 0.91s
CoT      | pred='nnlylnoonnn' | pos_acc=5/11 (45.5%) | 401tok | 0.77s
L2M      | pred='nnylynnynnn' | pos_acc=9/11 (81.8%) | 575tok | 2.38s
L2M-DV   | pred='nnylynnynnn' | pos_acc=9/11 (81.8%) | 871tok | 5.32s
Baseline | pred='onyyelntnn' | pos_acc=4/11 (36.4%) | 379tok | 1.02s | len_mismatch(gold=11, pred=10)
CoT      | pred='noeyelnyen' | pos_acc=4/11 (36.4%) | 404tok | 1.00s | len_mismatch(gold=11, pred=10)
L2M      | pred='nyyeemnynen' | pos_acc=11/11 (100.0%) | 614tok | 3.58s
L2M-DV   | pred='nyyeecoynen' | pos_acc=9/11 (81.8%) | 820tok | 4.18s

### Batch Summary (n_words=11)
| Strategy | Accuracy | Tokens | Avg Time |
|----------|----------|--------|----------|
| Baseline |  49.55% | 7,527 | 1.079s |
| CoT      |  50.91% | 8,024 | 0.973s |
| L2M      |  74.09% | 11,747 | 2.290s |
| L2M-DV   |  83.64% | 16,595 | 3.485s |

======================================================================
num_words = 12 | batch_size = 20
Baseline | pred='nnntnnntnnn' | pos_acc=7/12 (58.3%) | 381tok | 0.93s | len_mismatch(gold=12, pred=11)
CoT      | pred='nnntnnntnnn' | pos_acc=7/12 (58.3%) | 406tok | 0.92s | len_mismatch(gold=12, pred=11)
L2M      | pred='nlnnnyntynnn' | pos_acc=12/12 (100.0%) | 586tok | 2.45s
L2M-DV   | pred='nlnnnynttynn' | pos_acc=10/12 (83.3%) | 861tok | 3.96s
Baseline | pred='esnnveyylny' | pos_acc=4/12 (33.3%) | 377tok | 0.92s | len_mismatch(gold=12, pred=11)
CoT      | pred='ealnssneyny' | pos_acc=1/12 (8.3%) | 403tok | 0.92s | len_mismatch(gold=12, pred=11)
L2M      | pred='elnsenyyelny' | pos_acc=12/12 (100.0%) | 581tok | 2.45s
L2M-DV   | pred='elnsenyyeln' | pos_acc=11/12 (91.7%) | 820tok | 4.00s | len_mismatch(gold=12, pred=11)
Baseline | pred='ytyynlneyny' | pos_acc=4/12 (33.3%) | 388tok | 1.01s | len_mismatch(gold=12, pred=11)
CoT      | pred='yyyynnnnnnny' | pos_acc=6/12 (50.0%) | 413tok | 1.53s
L2M      | pred='yyyytlynmtyy' | pos_acc=5/12 (41.7%) | 639tok | 2.13s
